магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ДАНИССИМО Фантазия Хрустящие шарики в шоколаде 6,9%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ВЫБОР СЕМЬИ Шоколад 2%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ДОМИК В ДЕРЕВНЕ 2,5%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ЭКОНИВА Традиционное 82,5%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пирожное бисквитное KINDER Молочный ломтик с молочной начинкой, 5x28г","269,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные БОЛЬШАЯ КРУЖКА 10%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой АКТИБИО с персиком и малиной 1,5%, без сахара, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Закваска VIVO Бифивит, без змж, 4x0","224,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное РОСКАР Экстра столовое СО,"404,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог САВУШКИН 101 зерно Клубника 5%, без змж","61,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка БОЛЬШАЯ КРУЖКА 4%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир МЗ ПИСКАРЕВСКИЙ 2,5%, без змж","86,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЭКОНИВА для питания детей с 3-х лет 3,2%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог для детского питания ТЕМА с яблоком, персиком и бананом 4%, без змж","32,99"
