магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с вишней, черешней с гранолой 2,7–3,5%, без змж","83,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с лесными ягодами с гранолой и изюмом 2,7–3,5%, без змж","83,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Free Греческий безлактозный с малиной и мятой 3%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок глазированный ВЫБОР СЕМЬИ Картошка 16%, без змж","19,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ЛЕНТА LIFE безлактозное 82,5%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ФРУАТЕ Черника, ежевика 1,5%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Закваска САМОКВАШИНО Биокефир Домашний, без змж","43,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное БРЕСТ-ЛИТОВСК Сливочное несоленое 82,5%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное ЗЕЛЕНА-БУРЕНА несоленое 82,5%, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ФРУГУРТ со вкусом персика 1%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт NEO Греческий Персик 1,7%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый BONVIDA 9%, без змж","229,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный со вкусом фисташки 7,1%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир СЕВЕРНОЕ МОЛОКО Вологодский 1%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт АКТИБИО Клубника 2,9%, без змж","41,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт РАСТИШКА Клубника злаковые драже со вкусом банан, апельсин 3%, без змж","51,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЧУДО Клубника, земляника 1,9%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ЕЛМАЙ Традиционное 82,5% Халяль, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ДОМИК В ДЕРЕВНЕ 15%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Free Греческий безлактозный с черной смородиной и базиликом 3%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый ПРОСТОКВАШИНО 5%, без змж","219,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Мятное мороженое, без сахара, безлактозный 2,7%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ВКУСНОТЕЕВО 20%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный с наполнителем лимонный пирог 7,1%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог для детей РАСТИШКА Клубника, банан/Пломбир 3,5%, без змж, 6x45г","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Желе плодово-ягодное DELISSE Вишня в желе,"64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт КОЛОМЕНСКИЙ Земляника 5%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ПРАКСИС СО,"194,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой детский ФРУТОНЯНЯ Клубника, банан 2,5%, с 8 месяцев, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт высокобелковый кисломолочный EXPONENTA High-Pro Манго, маракуйя, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное 1М МОЛОЧНЫЙ 3,2%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный кофейный NATURA SELECTION Cappuccino 2,4%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ВОЛШЕБНАЯ ДОЛИНА 3,2%, без змж","28,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное ЛЕНТА 8,5%, без змж","199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Very Berry с манго 2,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ДАНИССИМО со вкусом пломбира 5,4%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное СЕВЕРНАЯ ДОЛИНА 3,2%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ФРУАТЕ Клубника, киви 1,5%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное OMEGGA3 C2,"119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ с апельсином в кондитерской глазури 23%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ДАНИССИМО Тропическое манго и маракуйя 5,6%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное 365 ДНЕЙ 3,2%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ 2,5%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СВЕЖЕЕ ЗАВТРА обезжиренный 1,8%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Миндальный без сахара 1,2%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт высокобелковый кисломолочный EXPONENTA High-Pro Черника, малина, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное LABAS RYTAS Традиционное 82,5%, без змж","474,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ФРУГУРТ со вкусом клубники 1%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Barista Кокосовый с соей 1,3%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный EXPONENTA High-pro Клубника, арбуз обезжиренный с высоким содержанием белка, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с голубикой и ежевикой с гранолой и изюмом 2,7–3,5%, без змж","83,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный пастеризованный TAKE A BITE Рисовый с кокосом,"209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир БОЛЬШАЯ КРУЖКА 2,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный А.РОСТАГРОКОМПЛЕКС Суфле с ванилью в молочном шоколаде 15%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ПРОСТОКВАШИНО 82% высший сорт, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный TEOS Pro Шоколад, высокобелковый, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог МАМА ЛАМА с персиком и грушей 3,8%, без змж","34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное детское АГУША 3,2%, с 3 лет, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Снежок СЕВЕРНОЕ МОЛОКО сладкий 2,5%, без змж","51,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт САВУШКИН с фруктовым наполнителем персик, манго 2%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные BONVIDA 10%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СВЕЖЕЕ ЗАВТРА 1,8%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биокефир БОЛЬШАЯ КРУЖКА 1%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой РАСТИШКА Шейк Клубничный пломбир 2,8%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный РОСТАГРОЭКСПОРТ с ванилью в молочном шоколаде 15%, без змж","60,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный с наполнителем Клубника, бисквит 7,1%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт АКТИБИО с малиной 3%, без лактозы без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный А.РОСТАГРОКОМПЛЕКС с ванилью в белом шоколаде 26%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пирожное бисквитное KINDER Pingui Шоколад с молочной начинкой, 4x30г","254,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ Ванильный в карамельной глазури 23%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог КФХ ГЕОРГИЕВ 12%, без змж","244,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Малина, черника фруктовый 4%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт молочный ЗАВОД ИМЕНИ ПАСТУХОВА с шоколадным бисквитом в молочном бельгийском шоколаде, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное РОГАЧЕВЪ цельное с сахаром 8,5%","239,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный с наполнителем черничный маффин 7,2%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт АКТИБИО Отруби, злаки 2,9%, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло кислосливочное PRESIDENT несоленое 82%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО безлактозная 15%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный САВУШКИН Ваниль 23%, без змж","33,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой детский АГУША Яблоко, груша 2,7%, с 8 месяцев, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный EXPONENTA HIGH-PRO Малина, банан, обезжиренное, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЛОСЕВО с сиропом из сосновых шишек 2,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог КФХ ГЕОРГИЕВ 9%, без змж","279,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ПРОСТОКВАШИНО 3,2%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Вафля KINDER Maxi King с молочно-карамельной начинкой в молочном шоколаде с дроблеными лесными орехами,"94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт АКТИБИО с клубникой и черникой, без сахара 3%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное БУРЕНКИНО 3,2%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный А.РОСТАГРОКОМПЛЕКС с сыром Горгонзола и груша в молочном шоколаде 24%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Трубочка для молока МИ-МИ-МИШКИ Фруктовый микс, без змж","50,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт АКТИБИО с голубикой и ежевикой 3%, без лактозы, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Творожок взбитый двухслойный Вишня 4,2%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СЕЛО ЗЕЛЕНОЕ 9%, без змж","239,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ФРУГУРТ Персик, маракуйя 2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка БОЛЬШАЯ КРУЖКА Печеное яблоко 3,5%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Шоколадный 2%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное 365 ДНЕЙ 61,5%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЭКОНИВА 3,2%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный стерилизованный ФАННИ ЯММИ Клубника 1,6%, без змж","46,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточно-молочный МАЖИТЭЛЬ Персик, маракуйя 0,05%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный HUNGRY PANDA Соленая карамель,"159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Снежок детский ФРУТОНЯНЯ 2%, без змж","51,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный ХОЗЯЙСТВО ВАСИЛЬЕВОЙ А.В. с изюмом 4,5%, без змж","47,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Малина, гранат 1,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные КЛЕВЕР 20%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг молочный GRAND DESERT Двойной орех 4,9%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СЕВЕРНОЕ МОЛОКО 5%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок ПРОСТОКВАШИНО Персик-абрикос 3,6%, без змж","37,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масса творожная РОСТАГРОЭКСПОРТ Особая с изюмом 23%, без змж","97,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный ВАУ МЯУ! Клубника со сливками 3,2%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Маршмеллоу ЗАВОД ИМЕНИ ПАСТУХОВА Японская дыня в молочном бельгийском шоколаде, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LAPLANDIA Сливочный с наполнителем ржаной хлеб, корица 7,1%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Полезный завтрак Груша, грецкий орех 5%, без змж","82,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный EPICA Flavorite Груша, ваниль, грецкий орех 8%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка МОЛОЧНАЯ КУЛЬТУРА 3,5–4,5%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток овсяный NEMOLOKO Шоколадный, обогащенный кальцием и витамином В2","96,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масса творожная РОСТАГРОЭКСПОРТ Особая с курагой 23%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный стерилизованный ФАННИ ЯММИ Какао шоколадный 1,7%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ИМУНЕЛЕ For Kids Клубничное мороженое 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Дыня, клубника, земляника 1,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное СЕВЕРНОЕ МОЛОКО Вологодское 3,2%, без змж","86,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Вишня, шоколад 4,4%, без змж","52,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ЛЕНТА 20% ГОСТ, без змж","61,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Спред растительно-жировой 48%, с змж","53,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Спред растительно-жировой КРЕСТЬЯНСКИЙ Сливочник 60%,"74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт питьевой J7 Смузи Клубника, банан, яблоко со злаками с витаминами","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ДОМИК В ДЕРЕВНЕ Клубника 2,1% без змж","48,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные PARMALAT UHT безлактозные 11%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Very Berry с зеленым яблоком 2,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA FREE безлактозный с наполнителем Медовая дыня, семена чиа 2,7%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог МАМА ЛАМА с манго 3,8%, без змж","34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог для детского питания ТЕМА Банан со вкусом печенья 4%, без змж","34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог мягкий ДОМИК В ДЕРЕВНЕ 2%, без змж","45,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный VENN'S Ваниль-лесной орех высокобелковый обезжиренный, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Желе РАСТИШКА Вишня,"34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пирожное KINDER Молочный ломтик бисквит с молочной начинкой и вкусом персик-маракуйя, без змж","76,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Киви, клубника 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ПЕТМОЛ Для взбивания 33%, без змж","309,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Шоколад 3%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LACTICA Греческий 2%, без змж","56,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана СЕВЕРНОЕ МОЛОКО Вологодская 15%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Палочки творожные глазированные СВИТЛОГОРЬЕ Три кота с ванилью в карамельной глазури 16%, без змж, палочки","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное вареное СВИТЛОГОРЬЕ в вафельной трубочке 8,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг молочный ЧУДО Шоколад 3,1%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт СВЕЖЕЕ ЗАВТРА Кленовый пекан 7,2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное БОЛЬШАЯ КРУЖКА 3,4–4%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БРЕСТ-ЛИТОВСК 15%, без змж","53,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой детский АГУША Клубника, земляника 2,7%, с 3 лет, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток ЛЕНТА LIFE Овсяный оригинальный,"99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ПАВЛОВСКАЯ КУРОЧКА С1,"139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Соленая карамель 4,2%, без змж","52,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный GRAND DUET Мечта единорога 5,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Чернослив 1,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Клубника 2%, без змж","164,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VENN'S Греческий 0,1%, без змж","56,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное PARMALAT 0,5%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Земляника, шиповник 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ГАРМОНИЯ 1%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо перепелиное ЭКО-ПТИЦЕФАБРИКА,"154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ФРУГУРТ Вишня 2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт глазированный 365 ДНЕЙ Вишневый джем 23%, с змж","14,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЛЕНТА FRESH С1 с селеном и йодом,"114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный РОСТАГРОЭКСПОРТ с вареной сгущенкой 15%, c змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Малиновый пломбир фруктовый 3,9%, с 12 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЧУДО Черника, малина 1,9%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Спред растительно-жировой ТМ КРЕМЛЕВСКОЕ 60%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Красный виноград, без сахара, безлактозный 2,7%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное 1М МОЛОЧНЫЙ 2,5%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA FREE безлактозный с наполнителем Малина, черная смородина 2,7%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Банан, яблоко, персик фруктовый 4%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный ультрапастеризованный МОЛОЧНЫЙ МИР Banana milk 1,3% , без змж","90,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Желе 365 ДНЕЙ со вкусом яблока,"28,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Черника, 5 злаков 1,6%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт АКТИБИО Киви-клубника без сахара 3%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ЛЕНТА 2,5%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ПРОСТОКВАШИНО 9%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ЛЕНТА 9%, без змж","82,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой NEO Фруктовый Манго, малина 1,5%, без змж 260г","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог BONVIDA обезжиренный, без змж","194,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное BONVIDA 3,2%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко топленое ПРОСТОКВАШИНО 2,5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA Crispy Лимон, семена тыквы, печенье, белый шоколад 8,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Желе плодово-ягодное DELISSE Мандарин в желе,"64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сок охлажденный J7 Цитрусовый микс, Яблоко-Грейпфрут-Апельсин","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Палочки творожные глазированные СВИТЛОГОРЬЕ Три кота с ванилью 16%, без змж, палочки","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с абрикосом, миндалем с гранолой и изюмом 2,7–3,5%, без змж","83,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ВКУСНОТЕЕВО цельное 3,5–6%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный ВАУ МЯУ! Ванильное мороженое 3,2%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг молочный GRAND DESERT Ваниль 4,7%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный А.РОСТАГРОКОМПЛЕКС с ванилью в молочном шоколаде 15%, без змж, 6x25г","249,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный HUNGRY PANDA Медовая дыня,"159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт молочный ПОТРЯСНЫЙ Котик фигурный Ванильный 6,5%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный EPICA Flavorite Малина, маскарпоне 7,7%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый САВУШКИН ПРОДУКТ 5%, без змж","149,99"
